"Thrust Speed Average, mm/min",USCSID,lv,Nvalue,"Total thrust force, MN",[99] Average shield jack stroke,"No.1 Screw revolution, min-1","Cutter Torque, MN-m","No.1 Screw Torque, MN-m",[58] Cutter Speed,[66] No.1 Gate stroke,"Soil Pressure, kPa",[628] Thrust Num Selected
2,5,21.37,3,5.445,563,0,5.33,0.594,0.5,0,85,9
2,5,32.06,11.43,8.935,576,0,5.65,1.225,0.5,78,289,22
2,5,23.08,4.43,13.472,541,0,5.699,1.175,0.5,51,378.5,21
2,5,21.38,3,12.34,601,0.2,5.766,0.714,0.5,15,115,11
2,5,21.38,3,14.341,1291,0.2,5.824,0.689,0.5,0,123,10
2,3,28.88,6,27.476,998,0.2,6.023,0.903,0.9,18,239.5,25
2,5,21.38,3,10.814,582,0.2,6.028,0.598,0.5,26,117.5,10
2,5,21.37,3,12.555,583,0.2,5.505,0.687,0.5,20,123.5,9
2,3,28.88,6,34.177,1818,0.4,4.552,1.156,0.9,4,233,21
2,5,21.37,3,9.762,623,0.4,5.963,0.821,0.5,45,150.5,9
2,5,21.38,3,13.26,1382,0.4,5.983,0.7,0.5,16,122,10
2,5,21.38,3,13.822,1702,0.4,5.891,0.736,0.5,13,117.5,10
2,5,21.38,3,13.73,1622,0.4,6.069,0.734,0.5,11,120.5,10
2,5,21.38,3,14.168,1121,0.4,6.018,0.588,0.5,21,113.5,11
2,5,21.38,3,16.424,1541,0.4,5.796,0.69,0.5,9,106.5,11
2,5,21.38,3,13.863,1662,0.4,5.956,0.733,0.5,15,116,10
2,5,21.38,3,13.462,1422,0.4,6.027,0.702,0.5,14,125.5,10
2,5,21.38,3,13.379,1462,0.4,6.09,0.708,0.5,11,120.5,10
2,5,21.38,3,15.179,1561,0.4,5.801,0.684,0.5,13,106.5,11
2,5,21.38,3,14.481,1481,0.4,5.837,0.699,0.5,14,114,11
2,3,28.88,6,29.496,651,0.5,5.346,0.89,0.9,16,241,25
2,5,21.38,3,13.614,1582,0.5,6.049,0.735,0.5,11,120.5,10
2,5,21.38,3,15.292,1762,0.5,5.919,0.727,0.5,13,113,10
2,5,21.38,3,13.493,1502,0.5,6.069,0.724,0.5,10,120,10
2,5,21.38,3,13.487,1542,0.5,6.082,0.727,0.5,10,119.5,10
2,5,21.38,3,16.347,1521,0.5,5.763,0.684,0.5,10,104.5,11
2,5,21.38,3,13.717,982,0.5,5.788,0.746,0.5,15,133,10
2,5,21.38,3,14.53,1401,0.5,5.81,0.718,0.5,11,118,11
2,5,21.38,3,13.782,1302,0.5,5.856,0.716,0.5,12,125,10
2,5,21.38,3,14.097,1142,0.5,5.779,0.742,0.5,13,125.5,10
2,5,21.38,3,14.21,1221,0.5,6.079,0.672,0.5,10,129.5,11
2,5,21.37,3,11.773,843,0.5,6.114,0.756,0.5,20,136,11
2,5,21.38,3,14.006,1321,0.5,5.786,0.693,0.5,10,120.5,11
2,5,21.38,3,14.456,1182,0.5,5.64,0.744,0.5,12,129,10
2,5,21.38,3,16.394,1501,0.5,5.761,0.694,0.5,10,104.5,11
2,5,21.37,3,11.905,883,0.5,6.205,0.758,0.5,20,138,12
2,5,21.37,3,12.994,963,0.5,6.179,0.546,0.5,20,120.5,11
2,5,21.38,3,15.783,1793,0.5,5.75,0.736,0.5,0,115,10
2,5,21.38,3,15.506,1722,0.5,5.876,0.728,0.5,13,115,10
2,5,21.38,3,14.695,1102,0.5,5.726,0.748,0.5,12,130,10
2,5,21.38,3,15.528,1682,0.5,5.898,0.73,0.5,15,115.5,10
2,5,21.38,3,13.418,802,0.5,5.985,0.752,0.5,16,137,10
2,5,21.38,3,13.6,622,0.5,6.137,0.752,0.5,15,139,10
2,5,21.38,3,14.241,1222,0.5,5.682,0.719,0.5,12,126.5,10
2,5,21.38,3,14.733,1431,0.5,5.793,0.548,0.5,25,108.5,10
2,5,21.38,3,14.568,1342,0.5,5.925,0.715,0.5,13,127.5,10
2,5,21.38,3,13.199,842,0.5,5.975,0.747,0.5,16,135,10
2,5,21.38,3,14.932,1402,0.5,6.041,0.699,0.5,16,122,10
2,5,21.38,3,14.924,1442,0.5,6.077,0.691,0.5,14,120,10
2,5,21.38,3,14.703,942,0.5,5.841,0.759,0.5,15,132,10
2,5,21.38,3,16.118,1141,0.5,6.081,0.673,0.5,11,130.5,11
2,5,21.38,3,16.097,1441,0.5,5.798,0.707,0.5,11,111,11
2,5,21.38,3,14.643,1362,0.5,5.975,0.699,0.5,13,123,10
2,5,21.38,3,15.472,1291,0.5,6.34,0.486,0.5,30,111,10
2,5,21.38,3,14.94,1162,0.5,5.677,0.731,0.5,13,127,10
2,5,21.38,3,14.341,1022,0.5,5.817,0.757,0.5,12,131.5,10
2,5,21.38,3,14.891,1322,0.5,5.827,0.712,0.5,12,126.5,10
2,5,21.38,3,13.277,862,0.5,5.954,0.749,0.5,16,133.5,10
2,5,21.38,3,15.348,1642,0.5,6.056,0.734,0.5,11,116.5,10
2,5,21.38,3,15.212,1602,0.5,6.098,0.726,0.5,11,116,10
2,5,21.38,3,14.748,1242,0.5,5.732,0.718,0.5,12,125.5,10
2,5,21.38,3,14.292,1062,0.6,5.749,0.743,0.5,12,129.5,10
2,5,21.37,3,12.902,663,0.6,6.104,0.706,0.5,20,130.5,11
2,5,21.38,3,16.116,1181,0.6,6.123,0.662,0.5,10,131.5,11
2,5,21.38,3,15.115,1482,0.6,6.109,0.71,0.5,11,119,10
2,5,21.38,3,13.258,762,0.6,6.095,0.769,0.5,16,137,10
2,5,21.37,3,14.424,1003,0.6,6.181,0.742,0.5,21,133.5,11
2,5,21.38,3,14.586,902,0.6,5.949,0.75,0.5,17,132,10
2,5,21.38,3,14.081,1751,0.6,6.262,0.537,0.5,22,103,10
2,5,21.38,3,15.188,1522,0.6,6.071,0.724,0.5,10,117.5,10
2,5,21.38,3,15.806,1411,0.6,5.875,0.603,0.5,29,114,10
2,5,21.38,3,15.208,1562,0.6,6.096,0.727,0.5,10,117,10
2,5,21.38,3,14.974,1042,0.6,5.785,0.753,0.5,12,130,10
2,5,21.38,3,13.544,742,0.6,6.097,0.774,0.5,15,141.5,10
2,5,21.38,3,13.96,1691,0.6,6.065,0.55,0.5,23,107,10
2,5,21.38,3,13.498,702,0.6,6.096,0.764,0.5,15,141.5,10
2,5,21.37,3,13.983,1043,0.6,6.099,0.656,0.5,19,120.5,10
2,5,21.38,3,13.588,662,0.6,6.162,0.761,0.5,16,143,10
2,5,21.38,3,15.047,962,0.6,5.841,0.758,0.5,15,129.5,10
2,5,21.38,3,14.36,1731,0.6,6.217,0.548,0.5,22,104.5,10
2,5,21.38,3,14.947,1122,0.6,5.775,0.757,0.5,12,128,10
2,5,21.38,3,16.236,1201,0.6,6.08,0.679,0.5,10,133.5,11
2,5,21.38,3,15.714,1391,0.6,6.138,0.539,0.5,24,114.5,10
2,5,21.38,3,16.343,1161,0.6,6.083,0.68,0.5,11,136.5,11
2,5,21.38,3,15.974,1261,0.6,6.158,0.702,0.5,10,127,11
2,5,21.38,3,14.717,1202,0.6,5.68,0.738,0.5,12,127,10
2,5,21.38,3,14.321,801,0.6,5.805,0.476,0.5,15,89.5,11
2,5,21.38,3,16.347,1461,0.6,5.851,0.702,0.5,11,110.5,11
2,5,21.37,3,12.494,783,0.6,6.131,0.734,0.5,20,139,11
2,5,21.38,3,16.205,1381,0.6,5.781,0.709,0.5,10,117.5,11
2,5,21.38,3,14.338,1711,0.6,6.176,0.549,0.5,23,102.5,10
2,5,21.38,3,14.874,1082,0.6,5.733,0.735,0.5,12,127.5,10
2,5,21.38,3,16.036,1361,0.6,5.718,0.706,0.5,10,117.5,11
2,5,21.38,3,14.168,761,0.6,5.777,0.45,0.5,15,81.5,11
2,5,21.38,3,14.24,741,0.6,5.758,0.45,0.5,15,79,11
2,5,21.38,3,16.293,1421,0.6,5.774,0.715,0.5,11,112,11
2,5,21.38,3,16.009,1341,0.6,5.773,0.711,0.5,10,118,11
2,5,21.38,3,14.899,922,0.7,5.885,0.737,0.5,15,127,10
2,5,21.38,3,14.271,1451,0.7,5.712,0.411,0.5,24,106.5,10
