Target,Thrust Speed Average,Total thrust force,Screw revolution,Cutter Torque,Screw Torque,Soil Pressure
1,0,0.336,0,5.035,0.764,162
1,33,19.9,7.1,5.005,0.49,160
1,48,21.834,9.5,5.034,0.469,158
1,51,21.583,9.9,5.046,0.509,156
1,50,21.197,10.2,5.03,0.514,154
1,49,20.464,10.4,4.997,0.545,153
1,50,20.294,10.9,4.995,0.548,152
1,49,20.43,9.5,4.991,0.556,151
1,49,20.362,9.4,4.97,0.53,150
1,50,20.228,9.7,4.971,0.526,149
1,50,19.958,10.2,4.986,0.536,149
1,37,18.6,9.7,5.016,0.544,149
1,48,20.281,9.1,5.021,0.533,148
1,50,20.069,9.5,5.006,0.504,147
1,49,20.073,9.4,5.024,0.521,147
1,49,20.14,9.6,5.02,0.571,147
1,51,19.973,9.8,5.01,0.564,147
1,50,19.738,10.2,5.013,0.545,146
1,49,19.438,9.8,4.999,0.519,146
1,51,19.308,9.7,4.983,0.542,145
1,50,19.206,10,4.97,0.55,145
1,36,18.49,8.4,4.969,0.578,147
1,50,19.538,9.5,5.006,0.499,146
1,49,19.372,9.7,5.001,0.484,146
1,49,19.348,10.2,4.98,0.532,146
1,50,19.202,10.2,4.988,0.56,145
1,50,19.176,9.7,4.972,0.553,145
1,49,19.198,10.1,4.978,0.547,145
1,50,19.181,10.2,4.956,0.536,145
1,50,19.358,9.8,4.946,0.54,144
1,49,19.431,10.1,4.911,0.54,144
1,37,18.62,9.7,4.735,0.49,145
1,50,19.768,9.6,4.758,0.485,144
1,50,19.927,10.1,4.826,0.51,144
1,51,19.556,10.7,4.905,0.528,144
1,52,18.918,11,4.895,0.528,143
1,50,18.652,10.4,4.87,0.53,143
1,49,18.821,10,4.872,0.518,143
1,50,18.893,10,4.874,0.512,142
1,51,18.76,10.2,4.869,0.517,142
1,50,18.527,10.5,4.849,0.51,141
1,36,17.38,9.1,4.947,0.539,140
1,50,19.425,9,4.941,0.546,141
1,51,19.417,9.9,4.952,0.5,140
1,51,19.244,10,4.946,0.528,140
1,50,18.973,10,4.911,0.536,140
1,50,18.784,9.9,4.908,0.565,139
1,50,18.729,9.7,4.938,0.552,140
1,50,18.958,9.5,4.93,0.575,139
1,50,19.197,9.5,4.92,0.564,139
1,49,19.386,9.7,4.935,0.58,140
1,38,17.441,9.3,4.934,0.539,140
1,51,19.089,9.2,4.95,0.518,140
1,49,19.638,9.5,4.936,0.546,140
1,50,19.824,9.7,4.942,0.565,141
1,52,19.451,10.6,4.933,0.556,140
1,50,18.936,10.4,4.916,0.582,140
1,52,18.716,9.9,4.963,0.55,140
1,50,18.573,10.1,4.952,0.522,140
1,49,18.581,9.8,4.887,0.516,139
1,51,18.567,9.7,4.928,0.53,140
1,38,17.7,9,4.762,0.535,140
1,48,18.776,8.7,4.767,0.52,141
1,49,19.463,8.5,4.792,0.54,141
1,50,19.789,9.4,4.769,0.543,141
1,52,19.555,10.2,4.778,0.548,141
1,52,18.99,10.4,4.84,0.574,141
1,49,19.25,9,4.842,0.565,141
1,50,19.494,9.8,4.841,0.543,141
1,51,19.392,9.9,4.842,0.557,141
1,51,19.186,10.4,4.773,0.558,141
1,38,17.369,9.7,4.755,0.525,141
1,48,18.291,9.4,4.78,0.477,142
1,50,18.909,9.1,4.767,0.561,142
1,49,19.377,9.5,4.769,0.587,142
1,49,19.636,10,4.782,0.575,142
1,51,19.459,9.8,4.782,0.576,142
1,50,19.582,9.6,4.798,0.583,142
1,49,20,8.9,4.817,0.553,142
1,50,20.354,9.5,4.811,0.536,142
1,42,16.912,8.5,4.836,0.566,142
1,0,0.388,0,5.101,0.776,154
1,35,18.406,6.9,5.084,0.53,154
1,50,20.034,8.9,5.091,0.507,154
1,50,20.324,9.4,5.096,0.536,153
1,49,19.985,10.2,5.089,0.539,153
1,51,19.227,10.7,5.079,0.51,152
1,50,18.739,10.1,5.099,0.523,152
1,48,19.161,9.1,5.113,0.505,152
1,50,19.825,9.2,5.105,0.513,151
1,50,19.731,10.1,5.11,0.544,151
1,50,19.354,10,5.115,0.539,151
1,37,18.17,8.8,5.061,0.524,151
1,49,19.573,8.9,5.053,0.504,151
1,49,20.21,9.3,5.054,0.531,150
1,50,20.362,9.6,5.059,0.548,150
1,51,20.168,9.9,5.043,0.535,150
1,50,19.923,9.6,5.043,0.556,150
1,50,19.928,9.2,5.045,0.573,151
1,50,19.828,9.6,5.053,0.569,151
1,50,19.737,9.9,5.049,0.573,150
1,50,19.378,10.7,5.008,0.578,150
1,39,18.334,8.8,5.039,0.566,150
1,49,19.638,9.4,5.067,0.547,151
1,49,19.971,9.7,5.062,0.565,150
1,51,19.868,10.1,5.073,0.571,150
1,51,19.453,11.1,5.071,0.529,150
1,50,19.071,10.4,5.065,0.54,149
1,50,18.832,10,5.078,0.501,150
1,49,19.202,9.7,5.077,0.515,149
1,49,19.655,10.1,5.056,0.548,149
1,50,19.899,10,5.099,0.584,149
1,37,18.933,9.4,4.971,0.553,149
1,49,20.018,9.4,4.945,0.508,149
1,49,20.432,9.2,4.955,0.528,148
1,51,20.377,9.6,4.956,0.557,148
1,51,19.957,10.1,4.944,0.547,148
1,51,19.475,10.8,4.946,0.545,148
1,52,18.878,10.2,4.95,0.557,148
1,51,18.831,11.5,4.962,0.544,148
1,49,18.722,9.9,4.953,0.521,147
1,50,18.626,9.6,4.94,0.528,147
1,37,17.936,8.6,4.937,0.581,147
1,47,19.808,8,5.128,0.6,149
1,50,19.991,9.6,5.135,0.593,148
1,51,19.946,9.5,5.148,0.581,148
1,50,19.992,9.6,5.151,0.584,148
1,51,19.942,9.8,5.146,0.595,148
1,50,19.669,9.6,5.109,0.592,148
1,50,19.731,9.5,5.115,0.56,148
1,50,19.695,9.8,5.116,0.565,148
1,50,19.726,9.8,5.107,0.571,148
1,33,19.334,6.9,5.172,0.628,153
1,51,20.427,10.1,5.172,0.537,154
1,51,19.311,10.1,5.186,0.496,154
1,51,19.512,10.2,5.145,0.49,154
1,50,19.325,10.2,5.112,0.474,153
1,51,19.121,10,5.102,0.472,152
1,52,18.859,10.1,5.092,0.49,151
1,50,18.548,10.2,5.108,0.483,151
1,51,18.747,9.2,5.12,0.484,151
1,37,19.063,6.3,5.136,0.573,151
1,49,20.687,8.9,5.175,0.572,150
1,51,20.633,8.9,5.192,0.598,151
1,50,20.711,9.4,5.191,0.646,152
1,49,20.844,9,5.157,0.619,151
1,51,20.821,9.4,5.147,0.615,151
1,52,20.453,10.6,5.13,0.59,151
1,52,19.514,11.1,5.127,0.571,150
1,51,18.674,10.7,5.149,0.551,150
1,51,18.521,9.8,5.14,0.529,150
1,37,17.127,8,5.118,0.56,150
1,49,18.663,9.8,5.111,0.503,149
1,51,18.66,9.3,5.125,0.507,149
1,50,18.875,9.7,5.122,0.524,149
1,48,19.223,9.2,5.131,0.529,149
1,50,19.643,9.9,5.113,0.543,149
1,51,19.558,10.5,5.086,0.55,149
1,51,19.127,10.5,5.064,0.557,148
1,51,18.687,10.6,5.039,0.546,148
1,38,15.924,1.4,5.05,0.588,148
1,0,9.156,0,4.913,0.786,155
1,39,16.698,8.8,4.891,0.519,154
1,49,17.779,8.7,4.916,0.451,153
1,49,18.152,9.2,4.883,0.534,152
1,51,18.434,9.3,4.904,0.545,152
1,50,18.621,9.4,4.916,0.55,152
1,49,18.786,9.5,4.915,0.538,151
1,51,18.71,9.6,4.898,0.545,151
1,50,18.752,9.8,4.896,0.572,151
1,50,18.478,9.8,4.936,0.57,151
1,50,18.404,9.7,4.932,0.537,151
1,38,17.565,8,5.053,0.586,151
1,50,18.447,9.9,5.194,0.52,151
1,49,18.367,10,5.201,0.565,151
1,49,18.595,9.6,5.203,0.559,151
1,49,19.213,9.4,5.204,0.572,151
1,49,19.261,9.4,5.203,0.574,151
1,50,19.326,9.4,5.186,0.581,151
1,50,19.264,9.4,5.168,0.591,151
1,50,18.987,9.4,5.165,0.579,151
1,51,18.805,9.4,5.172,0.573,151
1,38,18.403,7.4,4.995,0.636,152
1,50,19.568,9.7,4.941,0.567,152
1,51,19.336,9.8,4.95,0.616,152
1,50,19.167,9.7,4.968,0.572,152
1,50,19.165,10,4.971,0.568,152
1,51,19.234,9.7,4.975,0.575,152
1,51,19.207,10.1,4.97,0.571,152
1,50,19.185,10,4.973,0.578,151
1,51,19.193,9.6,5.005,0.592,152
1,50,19.311,9.5,5.012,0.557,152
1,37,19.246,7.6,5.099,0.596,153
1,51,20.259,9.7,5.138,0.528,153
1,51,20.166,9.8,5.145,0.555,152
1,51,20.074,9.7,5.14,0.537,152
1,50,19.849,9.7,5.159,0.529,152
1,51,19.66,9.6,5.185,0.504,152
1,51,19.367,9.9,5.169,0.498,151
1,50,19.181,9.4,5.132,0.505,151
1,51,19.074,9.5,5.138,0.495,151
1,49,19.174,8.8,5.129,0.492,151
1,39,19.273,7.4,5.001,0.595,152
1,50,20.082,9.5,4.966,0.514,151
1,50,19.904,9.6,4.945,0.564,151
1,49,20.069,9.4,4.932,0.565,151
1,51,20.373,9.5,4.942,0.573,151
1,50,20.399,9.5,4.934,0.569,151
1,50,20.516,9.4,4.934,0.586,152
1,50,20.618,9.4,4.928,0.599,152
1,49,20.795,9.4,4.947,0.622,152
1,50,20.746,9.5,4.944,0.617,152
1,37,20.147,7.8,5.149,0.638,153
1,50,21.225,9.7,5.201,0.578,153
1,50,21.033,9.5,5.184,0.659,153
1,50,21.138,9.5,5.176,0.618,153
1,51,21.214,9.8,5.147,0.599,153
1,50,21.284,9.9,5.156,0.565,152
1,50,21.229,9.5,5.142,0.576,152
1,51,21.192,9.6,5.126,0.596,152
1,50,20.996,9.8,5.136,0.595,152
1,49,21.125,9.6,5.118,0.583,153
1,37,20.456,7.5,5.083,0.629,154
1,50,21.577,9.7,5.086,0.566,154
1,49,21.524,9.7,5.074,0.557,153
1,51,21.475,9.6,5.131,0.573,154
1,51,21.371,9.5,5.185,0.556,154
1,51,21.458,9.4,5.187,0.545,153
1,50,21.635,9.4,5.185,0.531,153
1,49,21.766,9.4,5.174,0.552,153
1,51,21.869,9.8,5.171,0.56,153
1,49,22.077,9.7,5.159,0.552,153
1,38,21.592,7.7,4.984,0.588,155
1,51,22.443,9.4,4.982,0.549,154
1,49,22.229,9.8,5.023,0.579,154
1,51,22.23,9.6,5.026,0.592,154
1,50,22.185,9.6,5.025,0.572,154
1,49,22.214,10,5.039,0.57,154
1,52,22.311,9.8,5.013,0.558,154
1,49,22.695,8.9,4.987,0.579,154
1,48,20.606,9.2,4.963,0.572,153
1,0,2.039,0,5.109,0.823,169
1,32,18.641,6.1,5.1,0.63,169
1,50,21.375,10,5.115,0.5,168
1,49,21.115,10.2,5.06,0.441,166
1,51,20.75,11.9,4.985,0.493,163
1,50,20.507,9.7,4.977,0.561,162
1,49,20.644,9.5,4.97,0.587,161
1,50,20.446,9.4,4.942,0.555,160
1,51,20.331,9.8,4.938,0.567,160
1,50,20.186,10,4.938,0.517,159
1,51,20.038,9.7,4.927,0.559,158
1,38,19.876,7.7,4.95,0.677,159
1,50,20.419,10,4.97,0.579,159
1,50,20.23,9.7,5.004,0.562,159
1,50,20.35,9.5,5.006,0.562,159
1,50,20.46,9.7,4.991,0.596,159
1,50,20.356,9.5,4.996,0.596,158
1,51,20.252,9.2,5.009,0.579,158
1,50,20.335,9.2,5.002,0.505,158
1,49,20.327,9.2,5.002,0.508,158
1,50,20.502,8.6,5.005,0.589,157
1,38,19.523,7.4,5.122,0.664,158
1,49,20.49,10.3,5.176,0.596,157
1,51,20.358,9.4,5.251,0.552,157
1,50,20.441,10.9,5.231,0.568,157
1,50,20.372,9.7,5.215,0.602,156
1,50,20.02,9.9,5.254,0.619,156
1,50,19.725,9.6,5.224,0.572,156
1,51,19.718,9.6,5.213,0.536,155
1,49,20.175,9.1,5.218,0.535,155
1,51,20.353,9.3,5.197,0.604,155
1,37,19.289,7.8,5.024,0.624,154
1,50,20.319,10.4,4.99,0.525,152
1,51,19.954,10.1,5.001,0.494,152
1,51,19.941,10.1,5.039,0.505,151
1,50,19.923,10.1,5.001,0.511,151
1,52,19.573,10.1,5.002,0.553,150
1,50,19.298,9.8,5.061,0.549,149
1,50,19.299,9.6,5.04,0.521,149
1,51,19.443,10.6,5.016,0.537,149
1,50,19.453,9.7,5.039,0.588,148
1,36,18.796,8.1,4.93,0.619,148
1,50,19.821,9.8,4.962,0.522,146
1,51,19.814,9.6,4.976,0.484,146
1,50,19.897,10.6,4.981,0.525,146
1,49,20.095,9.8,4.986,0.54,146
1,51,20.15,9.7,4.958,0.609,146
1,50,20.161,9.9,4.971,0.59,145
1,50,20.272,9.6,5.191,0.534,145
1,51,20.518,10.1,5.182,0.57,145
1,50,20.823,9.2,5.161,0.615,145
1,36,20.235,6.9,5.179,0.64,146
1,51,21.506,10.6,5.157,0.528,145
1,52,21.327,9.8,5.182,0.51,145
1,51,21.317,9.8,5.197,0.561,145
1,52,21.219,10.3,5.195,0.562,145
1,51,21.145,10.2,5.168,0.589,144
1,50,21.217,9.4,5.188,0.54,144
1,51,21.507,9.2,5.181,0.537,144
1,51,21.702,9.8,5.165,0.519,144
1,50,21.498,9.8,5.164,0.561,144
1,36,20.339,7.8,4.944,0.609,145
1,52,22.021,10.7,4.935,0.505,144
1,50,21.722,9.7,4.96,0.474,144
1,51,21.74,10,4.951,0.54,144
1,51,21.637,10,4.934,0.569,143
1,51,21.632,9.8,4.959,0.585,143
1,51,21.702,9.5,4.933,0.538,143
1,52,21.704,9.5,4.927,0.524,143
1,52,22.127,9.5,4.949,0.528,143
1,51,21.673,10.9,4.951,0.537,142
1,37,20.879,7.2,4.964,0.632,143
1,51,22.221,9.9,4.981,0.532,142
1,50,22.061,10,5.015,0.53,142
1,51,22.06,10,4.999,0.533,142
1,52,22.02,9.9,4.987,0.572,142
1,49,22.038,9.1,5.046,0.568,142
1,52,22.314,9.8,5.071,0.585,142
1,51,22.538,9.9,5.07,0.562,142
1,50,22.816,9.8,5.089,0.53,142
1,47,20.378,8.2,5.223,0.569,141
1,0,5.842,0,5.06,0.779,154
1,34,20.272,6.1,4.942,0.659,154
1,50,22.317,9.3,4.957,0.523,154
1,50,22.01,10.2,4.955,0.518,154
